"group","row","1","2","3","4","5","6","7","8","9","10","11","12"
1,"A",145,106,146,96,61,98,52,204,89,88,81,8
1,"B",83,41,167,95,118,163,111,200,177,188,20,129
1,"C",54,193,181,99,117,139,40,199,11,55,102,136
1,"D",37,166,159,84,12,103,44,80,35,198,53,178
1,"E",47,217,29,19,142,131,143,NA,NA,NA,NA,NA
2,"A",25,156,201,115,164,176,138,93,160,158,141,77
2,"B",153,97,216,213,82,6,5,100,120,51,28,48
2,"C",17,140,119,58,7,169,75,190,74,155,211,70
2,"D",135,116,71,124,104,165,172,137,183,27,162,215
2,"E",76,65,109,67,16,110,45,NA,NA,NA,NA,NA
3,"A",180,152,62,92,50,59,63,157,187,196,79,91
3,"B",147,207,13,30,36,72,175,101,2,87,170,114
3,"C",108,122,151,121,179,85,1,210,42,133,205,24
3,"D",60,195,206,125,14,4,26,49,69,23,130,46
3,"E",185,154,105,192,112,127,186,NA,NA,NA,NA,NA
4,"A",18,126,208,68,128,197,113,150,78,134,212,182
4,"B",32,123,174,203,43,73,220,57,22,191,34,21
4,"C",173,189,184,149,38,171,219,31,90,218,9,194
4,"D",209,148,161,39,33,56,64,10,202,214,66,132
4,"E",94,86,144,107,15,3,168,NA,NA,NA,NA,NA
