"id","sex","location","weight","group"
53,"F","site-a",57.0672181838644,1
176,"F","site-a",59.8077986881521,2
49,"F","site-a",60.283818147026,3
134,"F","site-a",25.9800978717785,4
54,"F","site-a",42.1606049382684,1
7,"F","site-a",58.1765377759761,2
210,"F","site-a",44.9840203915313,3
174,"F","site-a",55.591653529682,4
200,"F","site-a",44.1718200434512,1
77,"F","site-a",61.8929338593088,2
187,"F","site-a",52.2908756253106,3
113,"F","site-a",56.3710109816364,4
217,"F","site-a",52.7830839369026,1
97,"F","site-a",51.2065378644706,2
122,"F","site-a",53.7551080085807,3
212,"F","site-a",43.4150806247975,4
177,"F","site-a",69.8913575022566,1
51,"M","site-a",53.0413763963478,2
175,"M","site-a",49.1888369673555,3
218,"M","site-a",47.2932996826581,4
8,"M","site-a",72.2545125489331,1
120,"M","site-a",60.2089431402343,2
69,"M","site-a",59.4869001952888,3
171,"M","site-a",59.7756895605362,4
163,"M","site-a",41.6939711483223,1
138,"M","site-a",68.6571245507839,2
185,"M","site-a",38.4238397747406,3
3,"M","site-a",51.4087354565228,4
142,"M","site-a",55.7377684537934,1
25,"M","site-a",43.7013339756833,2
26,"M","site-a",42.2668975450828,3
168,"M","site-a",31.5083917365448,4
80,"M","site-a",49.3557662664369,1
153,"M","site-a",35.9775339448101,2
205,"M","site-a",58.1547201606782,3
86,"F","site-b",59.0024551793188,4
47,"F","site-b",63.2236515105149,1
140,"F","site-b",60.310026888186,2
42,"F","site-b",53.7020696883229,3
34,"F","site-b",45.5741334422636,4
41,"F","site-b",44.2851409588831,1
141,"F","site-b",31.9913703322747,2
50,"F","site-b",62.6371900516546,3
173,"F","site-b",41.2734041439877,4
37,"F","site-b",67.6288076320916,1
135,"F","site-b",64.0197177465066,2
206,"F","site-b",38.1522774268938,3
39,"F","site-b",60.0375151918292,4
61,"F","site-b",57.7289991020819,1
216,"F","site-b",53.2717214512176,2
121,"F","site-b",65.0301695733352,3
208,"F","site-b",59.6388258077957,4
88,"F","site-b",37.1553844330904,1
116,"M","site-b",50.8346495546111,2
46,"M","site-b",38.1571344558913,3
32,"M","site-b",57.9541886046748,4
198,"M","site-b",45.6310070621417,1
28,"M","site-b",60.1757523495867,2
91,"M","site-b",58.8726022346284,3
144,"M","site-b",59.9555181689305,4
159,"M","site-b",35.1895394794171,1
82,"M","site-b",51.6455915118058,2
130,"M","site-b",46.8544425432271,3
68,"M","site-b",52.9234354989724,4
167,"M","site-b",57.6090160913429,1
100,"M","site-b",35.6044422689281,2
59,"M","site-b",44.2035408320696,3
94,"M","site-b",61.2830508025633,4
84,"M","site-b",60.4798735887323,1
119,"M","site-b",30.6050773073604,2
179,"M","site-b",43.4019813509383,3
64,"M","site-b",51.1059248988806,4
129,"F","site-c",40.7227635381432,1
164,"F","site-c",57.2889835011117,2
36,"F","site-c",54.0736304816053,3
126,"F","site-c",37.5892066004783,4
103,"F","site-c",72.0564722161608,1
5,"F","site-c",39.8692202685967,2
62,"F","site-c",46.6515805859744,3
56,"F","site-c",52.3654199961219,4
139,"F","site-c",54.5079975615237,1
104,"F","site-c",57.2338792928908,2
133,"F","site-c",56.5632834297015,3
149,"F","site-c",67.3916105556545,4
96,"F","site-c",34.291034332477,1
109,"F","site-c",48.4479174220888,2
2,"F","site-c",59.6073927946445,3
73,"F","site-c",59.6281009596942,4
166,"M","site-c",58.1284627236331,1
124,"M","site-c",58.4179667429924,2
1,"M","site-c",63.4217381850261,3
191,"M","site-c",49.1345164663984,4
52,"M","site-c",48.8067985130958,1
190,"M","site-c",54.2183692831725,2
180,"M","site-c",34.0807969721369,3
10,"M","site-c",64.459820364731,4
118,"M","site-c",36.2370100942618,1
215,"M","site-c",53.5027192250875,2
85,"M","site-c",38.0004405948852,3
38,"M","site-c",49.338336333583,4
44,"M","site-c",47.8258827742074,1
93,"M","site-c",49.0536025741687,2
14,"M","site-c",56.2600557536155,3
182,"M","site-c",55.6021179159794,4
143,"M","site-c",37.8935341590926,1
17,"M","site-c",44.7559826502586,2
60,"M","site-c",43.7684341559767,3
33,"M","site-c",52.8241609669148,4
193,"F","site-d",58.9519045834008,1
58,"F","site-d",44.6872006881443,2
195,"F","site-d",29.5500962444763,3
194,"F","site-d",47.1309343547481,4
12,"F","site-d",51.1096779477521,1
155,"F","site-d",44.8639439808726,2
114,"F","site-d",50.8307265378407,3
57,"F","site-d",47.6755643893388,4
20,"F","site-d",57.0493186183507,1
172,"F","site-d",50.1778313756533,2
125,"F","site-d",66.2618382350303,3
31,"F","site-d",48.0642720230564,4
188,"F","site-d",37.5555806024377,1
76,"F","site-d",51.8130929645632,2
207,"M","site-d",51.1855006315971,3
148,"M","site-d",44.2997540177955,4
145,"M","site-d",53.153637150415,1
110,"M","site-d",46.7477916711134,2
151,"M","site-d",41.4048603484916,3
150,"M","site-d",54.4671819628939,4
204,"M","site-d",43.0845517251166,1
165,"M","site-d",63.6348100270099,2
63,"M","site-d",50.4221467286357,3
107,"M","site-d",53.2718105689963,4
146,"M","site-d",42.6024930101435,1
75,"M","site-d",21.8406580963733,2
13,"M","site-d",46.9747257354792,3
189,"M","site-d",35.2157832154024,4
83,"M","site-d",48.0643662371974,1
