"id","sex","location","weight","group","col","row"
"195","F","site-d",29.5500962444763,1,1,"A"
"160","M","site-f",34.9442180521445,1,2,"A"
"210","F","site-a",44.9840203915313,1,3,"A"
"84","M","site-b",60.4798735887323,1,4,"A"
"211","F","site-f",60.5113803621817,1,5,"A"
"54","F","site-a",42.1606049382684,1,6,"A"
"48","F","site-e",50.4450895749856,1,7,"A"
"10","M","site-c",64.459820364731,1,8,"A"
"59","M","site-b",44.2035408320696,1,9,"A"
"96","F","site-c",34.291034332477,1,10,"A"
"136","M","site-f",50.6581998936843,1,11,"A"
"129","F","site-c",40.7227635381432,1,12,"A"
"31","F","site-d",48.0642720230564,1,1,"B"
"13","M","site-d",46.9747257354792,1,2,"B"
"171","M","site-a",59.7756895605362,1,3,"B"
"219","M","site-f",45.6096194532593,1,4,"B"
"130","M","site-b",46.8544425432271,1,5,"B"
"BLANK-3",NA,"blank",NA,1,6,"B"
"49","F","site-a",60.283818147026,1,7,"B"
"100","M","site-b",35.6044422689281,1,8,"B"
"175","M","site-a",49.1888369673555,1,9,"B"
"121","F","site-b",65.0301695733352,1,10,"B"
"38","M","site-c",49.338336333583,1,11,"B"
"15","F","site-e",45.5815443837624,1,12,"B"
"REP-8",NA,"replicate",NA,1,1,"C"
"99","F","site-e",65.628813011957,1,2,"C"
"88","F","site-b",37.1553844330904,1,3,"C"
"28","M","site-b",60.1757523495867,1,4,"C"
"120","M","site-a",60.2089431402343,1,5,"C"
"33","M","site-c",52.8241609669148,1,6,"C"
"220","M","site-e",47.2680205013508,1,7,"C"
"197","F","site-e",76.6655851961488,1,8,"C"
"BLANK-6",NA,"blank",NA,1,9,"C"
"190","M","site-c",54.2183692831725,1,10,"C"
"150","M","site-d",54.4671819628939,1,11,"C"
"REP-1",NA,"replicate",NA,1,12,"C"
"106","M","site-e",43.1901317417368,1,1,"D"
"149","F","site-c",67.3916105556545,1,2,"D"
"188","F","site-d",37.5555806024377,1,3,"D"
"215","M","site-c",53.5027192250875,1,4,"D"
"34","F","site-b",45.5741334422636,1,5,"D"
"217","F","site-a",52.7830839369026,1,6,"D"
"127","F","site-e",62.320577078741,1,7,"D"
"181","F","site-f",63.8645590834722,1,8,"D"
"199","M","site-f",46.2947920649888,1,9,"D"
"3","M","site-a",51.4087354565228,1,10,"D"
"140","F","site-b",60.310026888186,1,11,"D"
"146","M","site-d",42.6024930101435,1,12,"D"
"30","M","site-f",38.1814475346754,1,1,"E"
"4","F","site-f",33.9618264219088,1,2,"E"
"117","F","site-f",42.3449920301379,1,3,"E"
"REP-4",NA,"replicate",NA,1,4,"E"
"203","M","site-f",65.4701740745728,1,5,"E"
"196","F","site-f",61.8123843080484,1,6,"E"
"103","F","site-c",72.0564722161608,1,7,"E"
"90","M","site-f",61.0970495103659,1,8,"E"
"92","M","site-e",42.184648402073,1,9,"E"
"70","M","site-d",43.4603049813654,1,10,"E"
"141","F","site-b",31.9913703322747,1,11,"E"
"BLANK-8",NA,"blank",NA,1,12,"E"
"213","M","site-d",57.7643230865879,1,1,"F"
"139","F","site-c",54.5079975615237,2,1,"A"
"115","M","site-f",67.7212078752946,2,2,"A"
"93","M","site-c",49.0536025741687,2,3,"A"
"86","F","site-b",59.0024551793188,2,4,"A"
"21","F","site-f",56.6330604126865,2,5,"A"
"198","M","site-b",45.6310070621417,2,6,"A"
"61","F","site-b",57.7289991020819,2,7,"A"
"16","F","site-f",44.7800523626823,2,8,"A"
"REP-7",NA,"replicate",NA,2,9,"A"
"32","M","site-b",57.9541886046748,2,10,"A"
"79","M","site-f",46.7074606915154,2,11,"A"
"47","F","site-b",63.2236515105149,2,12,"A"
"89","M","site-f",52.512155507674,2,1,"B"
"81","F","site-f",46.0269758961335,2,2,"B"
"125","F","site-d",66.2618382350303,2,3,"B"
"165","M","site-d",63.6348100270099,2,4,"B"
"134","F","site-a",25.9800978717785,2,5,"B"
"55","F","site-f",34.0202821358409,2,6,"B"
"6","F","site-e",63.0462829340588,2,7,"B"
"157","F","site-e",37.2844501915196,2,8,"B"
"142","M","site-a",55.7377684537934,2,9,"B"
"71","F","site-f",44.7938419229349,2,10,"B"
"200","F","site-a",44.1718200434512,2,11,"B"
"72","M","site-d",57.5960913579172,2,12,"B"
"42","F","site-b",53.7020696883229,2,1,"C"
"113","F","site-a",56.3710109816364,2,2,"C"
"76","F","site-d",51.8130929645632,2,3,"C"
"122","F","site-a",53.7551080085807,2,4,"C"
"170","F","site-e",54.3503647513646,2,5,"C"
"REP-6",NA,"replicate",NA,2,6,"C"
"167","M","site-b",57.6090160913429,2,7,"C"
"162","M","site-f",56.9950925334032,2,8,"C"
"57","F","site-d",47.6755643893388,2,9,"C"
"66","F","site-e",42.6690106885461,2,10,"C"
"77","F","site-a",61.8929338593088,2,11,"C"
"26","M","site-a",42.2668975450828,2,12,"C"
"169","M","site-e",58.6805767393266,2,1,"D"
"191","M","site-c",49.1345164663984,2,2,"D"
"5","F","site-c",39.8692202685967,2,3,"D"
"161","M","site-f",61.2162417886775,2,4,"D"
"2","F","site-c",59.6073927946445,2,5,"D"
"133","F","site-c",56.5632834297015,2,6,"D"
"BLANK-4",NA,"blank",NA,2,7,"D"
"124","M","site-c",58.4179667429924,2,8,"D"
"116","M","site-b",50.8346495546111,2,9,"D"
"185","M","site-a",38.4238397747406,2,10,"D"
"58","F","site-d",44.6872006881443,2,11,"D"
"22","M","site-d",53.3148898876956,2,12,"D"
"192","F","site-f",34.2272961019316,2,1,"E"
"9","M","site-f",54.0565001031522,2,2,"E"
"182","M","site-c",55.6021179159794,2,3,"E"
"207","M","site-d",51.1855006315971,2,4,"E"
"206","F","site-b",38.1522774268938,2,5,"E"
"107","M","site-d",53.2718105689963,2,6,"E"
"98","F","site-e",47.6942234939492,2,7,"E"
"153","M","site-a",35.9775339448101,2,8,"E"
"BLANK-11",NA,"blank",NA,2,9,"E"
"BLANK-5",NA,"blank",NA,2,10,"E"
"209","M","site-e",52.9161234952287,2,11,"E"
"44","M","site-c",47.8258827742074,2,12,"E"
"132","M","site-f",36.8440805308807,3,1,"A"
"166","M","site-c",58.1284627236331,3,2,"A"
"186","M","site-f",73.4900910312728,3,3,"A"
"147","F","site-f",37.783887032688,3,4,"A"
"183","M","site-e",54.1423293897984,3,5,"A"
